DJI（互联网泡沫）,DJI（经济大萧条）,DJI（87年，可能得省略）,DJI（08年金融危机）,N225（房地产泡沫）,CHL（智利金融危机）,China（中国08年）,HK（9798年东南亚危机）,China（中国15年）
3274.1,102,850.92,11342.89,7560.77,364.55,1555.447021,2711.4,2365.593018
3285.4,101.21,846.85,11347.45,7576.18,367.98,1535.52002,2677.8,2359.506104
3280.8,102.01,855.42,11336.32,7529.2,369.62,1533.483032,2697.5,2273.404053
3285.6,100.11,845.29,11283.25,7502.03,369.94,1546.113037,2687.4,2326.305908
3290.7,100.1,837.92,11354.49,7539.69,375.03,1560.954956,2661.8,2347.178955
3284,99.55,835.41,11382.51,7589.95,381.13,1569.511963,2647.4,2324.292969
3282.4,98,831.69,11367.14,7504.49,382,1568.340942,2655.6,2318.611084
3319.86,98.76,834.2,11343.29,7480.58,382.71,1551.811035,2665.2,2310.593018
3318.5,96.9,840.61,11416.45,7413.24,385.03,1568.156006,2663.5,2286.60498
3354.1,96.11,840.7,11400.28,7430.37,387.53,1576.260986,2678.9,2263.968018
3330.3,96.23,847.54,11438.86,7334.97,386.81,1576.527954,2703.4,2270.2771
3339.2,98.5,863.83,11577.74,7375.27,387.6,1562.237061,2701.1,2278.400879
3295.2,99.2,866.51,11584.54,7484.52,389.37,1574.110962,2692.6,2240.016113
3293.3,98.45,861.92,11639.77,7569.3,393.29,1556.249023,2677.4,2257.434082
3324.1,99.83,862.09,11642.65,7634.86,393.76,1538.920044,2671.2,2317.375
3330.6,98.98,859.23,11500.73,7711.73,396.8,1530.214966,2659.1,2324.241943
3337.3,97.5,856.72,11380.99,7696.52,397.27,1538.761963,2634,2328.278076
3358.4,95.37,856.98,11428.77,7705.3,397.33,1565.839966,2579.4,2326.715088
3345.4,93.61,854.56,11419.89,7712.01,398.75,1562.105957,2595.3,2297.668945
3361.6,95.11,844.25,11205.61,7714.57,401.64,1566.765991,2600.9,2301.26001
3331.6,94.72,836.97,11128.29,7668.86,401.39,1559.704956,2600.6,2236.302002
3303,95.09,838.62,11144.06,7705.41,399.64,1557.175049,2589.4,2236.621094
3308.4,95.82,830.04,11125.33,7706.61,401.36,1553.876953,2594.7,2234.39502
3277.6,95.59,824.93,11098.35,7692.84,398.64,1538.754028,2571.4,2227.73999
3290,94.29,827.7,11117.32,7726,398.38,1529.469971,2579.8,2225.294922
3285.7,94.08,823.02,11211.05,7851.73,397.72,1511.36499,2564.1,2211.592041
3282.2,94.1,812.28,11278.61,7867.42,394.76,1512.428955,2532.1,2225.773926
3334.1,92.03,817.31,11094.43,7894.93,392.86,1502.077026,2520.3,2226.125977
3379.2,93.85,819.91,11168.31,7904.56,389.83,1515.375,2520.9,2219.552979
3391.9,94.65,821.64,11260.28,7925.34,380.62,1497.053955,2464.8,2206.780029
3393.8,95.73,818.95,11247.87,7927.36,377.18,1486.024048,2439.6,2181.940918
3395.4,95.1,812.89,11048.72,7826.47,382.04,1484.703979,2443.8,2194.844971
3384.3,95.03,805.79,11002.14,7916.38,384.13,1499.682007,2433.3,2193.795898
3365.1,96.75,807.17,10930.9,7895.16,384.46,1504.436035,2449.9,2197.602051
3340.6,96.91,812.46,10938.82,7912.98,383.2,1502.348999,2508.2,2244.643066
3332.2,97.88,816.79,10891.92,7923.86,380.19,1501.484009,2502.1,2242.168945
3337.56,97.85,821.29,10792.58,7878.96,380.19,1512.019043,2525.1,2184.538086
3331.1,98.28,824.93,10706.14,7853.95,378.54,1503.313965,2508.5,2218.318115
3320.8,98.19,824.76,10816.92,7887.38,370.73,1531.927002,2496.6,2199.306885
3313.3,98.03,839.83,11015.19,7876.89,372.42,1528.854004,2468.9,2177.912109
3328.9,98.13,839.05,11014.55,7840.16,373.47,1521.41394,2473.6,2174.123047
3324.9,97.64,829,10942.11,7756.76,376.3,1525.438965,2481.6,2205.49707
3329.5,98.23,840.7,10974.84,7760.84,375.62,1529.490967,2474.1,2231.166016
3307.1,97.52,838.62,11079.46,7717.07,374.42,1539.358032,2458.8,2235.574951
3304.9,97.88,833.42,11019.11,7743.08,371.58,1507.161987,2447.6,2246.300049
3254.1,98.62,831.6,10989.09,7816.76,368.97,1495.88501,2423.2,2232.970947
3228.2,99.22,839.57,11045.28,7784.84,359.74,1498.484985,2432,2246.831055
3232.2,98.14,847.19,10924.74,7823.56,357.95,1502.147949,2455.8,2241.919922
3246.8,98.17,850.57,10973.56,7831.35,353.41,1493.45105,2454.4,2217.01001
3254.6,98.77,856.29,11190.8,7828.26,349.31,1477.651001,2466.3,2224.797119
3267.6,99.42,862.27,11150.22,7815.97,343.59,1470.392944,2449.8,2251.804932
3257.4,98.57,860.71,11228.02,7820.06,337.29,1477.296021,2439.4,2282.870117
3266.26,98.88,883.49,11151.82,7888.53,333.07,1479.651978,2441,2299.986084
3290.3,98.06,886.87,11225.3,7906.1,333.07,1476.741943,2429.1,2305.114014
3292.2,97.23,888.43,11090.67,7968.93,333.07,1476.968994,2415.8,2302.403076
3281.9,97.29,885.05,11103.55,7978.47,333.07,1494.36499,2417.4,2275.666992
3260.6,98.12,889.21,11134.77,7985.64,333.07,1494.312012,2427,2288.531982
3271.4,98.63,891.63,11013.18,7938.89,350.99,1486.251953,2478.9,2293.076904
3305.2,98.04,885.48,10846.29,7953.57,350.87,1487.369995,2566.4,2321.318115
3305.7,96.96,890.85,10739.35,7976.4,345.42,1471.271973,2571.6,2324.01709
3376.2,97.05,888.17,10747.36,8019.14,344.72,1474.412964,2551.9,2317.749023
3327.3,98.09,887.13,10799.23,7949.38,342.47,1479.282959,2561.8,2300.594971
3319.2,97.85,894.58,11011.42,7961.52,337.79,1465.827026,2593,2299.251953
3315.7,97.25,900.12,10928.1,7972.96,331.78,1455.899048,2593.6,2272.416992
3327.1,97.43,896.83,10868.38,7995.23,333.69,1450.203003,2590.4,2270.929932
3320.8,97.16,888.95,11051.05,7917.53,336.25,1445.088989,2584,2242.110107
3280.9,97.79,892.41,11103.71,7817.22,342.59,1449.712036,2581.7,2210.897949
3278.7,98.15,897,11102.51,7852.29,345.25,1441.66394,2562.5,2148.35498
3287.9,98.26,897.35,11100.43,7796.39,341.25,1441.089966,2584.5,2162.041016
3250.3,97.75,895.53,11219.7,7726.59,341.71,1438.883057,2610.6,2156.215088
3276.26,97.43,884.88,11185.68,7815.78,342.95,1422.176025,2617.3,2159.291016
3266.8,97.71,880.2,11125.73,7735.71,343.31,1425.212036,2614.5,2143.454102
3271.7,98.7,880.72,11199.93,7678.17,344.32,1425.362061,2627.4,2084.020996
3254.4,100.03,876.82,11242.59,7678.46,344.13,1415.692993,2615.4,2073.094971
